No.,Ticker,Company,Country,Market Cap,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Earnings Date,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,After-Hours Close,timestamp
6,MIRA,Mira Pharmaceuticals Inc,USA,12.23,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,-0.97%,1.97%,-9.55%,-8.03%,0.35%,-2.86%,-5.95%,-15.99%,-10.04%,31.64%,51.08%,11.84%,-8.10%,-15.97%,,-21.18%,0.09,11.12%,7.87%,27.33%,12.75%,-45.14%,05/29/2024,-5.95%,49.36%,114.26,1989.49,19671661,0.59,0.88,0.98,0.81,0.83,40.46%,,2024-07-15 09:45:00
8,MIRA,Mira Pharmaceuticals Inc,USA,11.48,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,1.80%,2.04%,1.41%,-2.75%,-5.06%,-4.10%,-8.83%,-17.36%,-26.72%,23.56%,41.80%,4.97%,-13.74%,-21.13%,,-26.02%,0.09,11.12%,7.87%,19.51%,5.83%,-48.51%,05/29/2024,-11.73%,49.36%,114.26,1517.05,21333692,0.59,0.88,0.98,0.75,0.78,31.84%,,2024-07-15 10:00:00
3,MLGO,MicroAlgo Inc,China,28.84,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.3,0.26%,-0.24%,0.80%,1.88%,-1.02%,-2.29%,-6.88%,7.67%,7.67%,7.67%,-40.78%,-13.47%,35.36%,-50.96%,-84.01%,-58.44%,2.75,40.44%,45.33%,-55.36%,-27.66%,-71.52%,,7.67%,2.33%,8718.83,2.43,1060335,3.44,3.52,4.13,3.49,3.79,10.17%,,2024-07-15 08:00:00
2,MLGO,MicroAlgo Inc,China,27.85,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.3,0.00%,-0.27%,-1.61%,-1.87%,-2.40%,-1.35%,-3.17%,-5.43%,3.98%,3.98%,-42.81%,-16.44%,30.71%,-52.65%,-84.56%,-59.87%,2.75,40.44%,45.33%,-56.89%,-30.14%,-72.49%,,3.98%,2.33%,8718.83,2.7,1178982,3.44,3.52,4.13,3.49,3.66,6.40%,,2024-07-15 08:15:00
2,MLGO,MicroAlgo Inc,China,27.62,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.3,0.28%,0.28%,0.28%,0.28%,0.00%,-2.68%,-3.97%,-9.70%,3.12%,3.12%,-43.28%,-17.12%,29.64%,-53.03%,-84.68%,-60.20%,2.75,40.44%,45.33%,-57.24%,-30.71%,-72.72%,,3.13%,2.33%,8718.83,2.93,1278841,3.44,3.52,4.13,3.49,3.63,5.52%,,2024-07-15 08:30:00
3,MLGO,MicroAlgo Inc,China,27.85,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.3,-0.81%,-0.81%,-1.03%,0.00%,0.27%,0.83%,-1.88%,-5.67%,3.98%,3.98%,-42.81%,-16.44%,30.71%,-52.65%,-84.56%,-59.87%,2.75,40.44%,45.33%,-56.89%,-30.14%,-72.49%,,3.98%,2.33%,8718.83,3.05,1327992,3.44,3.52,4.13,3.49,3.66,6.40%,,2024-07-15 08:45:00
2,MLGO,MicroAlgo Inc,China,26.86,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.3,-0.28%,-0.56%,-1.12%,-1.40%,-2.21%,-3.55%,-2.90%,-6.61%,0.28%,0.28%,-44.84%,-19.41%,26.07%,-54.33%,-85.11%,-61.29%,2.75,40.44%,45.33%,-58.42%,-32.62%,-73.47%,,0.28%,2.33%,8718.83,3.15,1373871,3.44,3.52,4.13,3.49,3.53,2.62%,,2024-07-15 09:00:00
2,MLGO,MicroAlgo Inc,China,27.32,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.3,0.00%,0.82%,0.85%,0.84%,0.28%,1.13%,-1.91%,-3.49%,-2.97%,1.99%,-43.91%,-18.04%,28.21%,-53.55%,-84.85%,-60.64%,2.75,40.44%,45.33%,-57.71%,-31.47%,-73.02%,,1.99%,2.33%,8718.83,3.21,1400883,3.44,3.52,4.13,3.49,3.59,4.36%,,2024-07-15 09:15:00
3,MLGO,MicroAlgo Inc,China,27.7,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.3,0.00%,-0.28%,0.27%,1.11%,1.67%,1.39%,2.53%,0.12%,-10.57%,3.41%,-43.13%,-16.90%,30.00%,-52.91%,-84.64%,-60.09%,2.71,40.44%,45.33%,-57.12%,-30.52%,-72.64%,,0.27%,5.52%,8718.83,3.39,1478465,3.44,3.63,3.65,3.6,3.64,5.81%,,2024-07-15 09:30:00
30,MWG,Multi Ways Holdings Ltd,Singapore,16.43,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.00%,-0.94%,-0.94%,-0.92%,-0.92%,-0.92%,-0.92%,-0.92%,-0.94%,-0.94%,47.05%,54.60%,66.22%,101.47%,-4.62%,137.16%,0.07,24.24%,19.13%,45.36%,50.44%,66.00%,,36.64%,-1.80%,839.99,4.9,4252000,0.4,0.39,0.58,0.39,0.53,34.18%,0.52,2024-07-15 07:00:00
5,MWG,Multi Ways Holdings Ltd,Singapore,18.97,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-2.29%,4.63%,4.63%,-0.65%,6.03%,9.84%,19.74%,15.13%,15.13%,15.13%,36.94%,62.70%,96.49%,128.20%,0.02%,173.70%,0.08,24.24%,19.13%,64.28%,71.77%,91.21%,,18.50%,-2.61%,839.99,14.41,605371,0.53,0.52,0.64,0.51,0.62,15.41%,,2024-07-15 07:30:00
5,MWG,Multi Ways Holdings Ltd,Singapore,18.97,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-2.29%,4.63%,4.63%,-0.65%,6.03%,9.84%,19.74%,15.13%,15.13%,15.13%,36.94%,62.70%,96.49%,128.20%,0.02%,173.70%,0.08,24.24%,19.13%,64.28%,71.77%,91.21%,,18.50%,-2.61%,839.99,14.41,605371,0.53,0.52,0.64,0.51,0.62,15.41%,,2024-07-15 07:45:00
6,MWG,Multi Ways Holdings Ltd,Singapore,18.2,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.00%,0.20%,0.20%,0.20%,0.20%,-2.43%,1.72%,10.45%,10.45%,10.45%,31.37%,56.08%,88.50%,118.92%,-4.05%,162.57%,0.08,24.24%,19.13%,57.60%,64.79%,83.44%,,13.68%,-2.61%,839.99,22.85,959755,0.53,0.52,0.65,0.51,0.59,10.71%,,2024-07-15 08:00:00
6,MWG,Multi Ways Holdings Ltd,Singapore,19.38,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-0.02%,-0.02%,1.35%,3.02%,3.22%,7.29%,3.92%,12.23%,17.63%,17.63%,39.92%,66.24%,100.77%,133.17%,2.20%,179.66%,0.08,24.24%,19.13%,67.86%,75.52%,95.38%,,21.08%,-2.61%,839.99,25.21,1058626,0.53,0.52,0.65,0.51,0.63,17.92%,,2024-07-15 08:15:00
6,MWG,Multi Ways Holdings Ltd,Singapore,17.92,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.17%,-3.15%,-1.53%,-5.53%,0.26%,-4.77%,-2.97%,0.17%,8.76%,8.76%,29.37%,53.70%,85.62%,115.58%,-5.51%,158.57%,0.08,24.24%,19.13%,55.20%,62.28%,80.64%,,11.95%,-2.61%,839.99,28.94,1215464,0.53,0.52,0.65,0.51,0.58,9.03%,,2024-07-15 08:30:00
8,MWG,Multi Ways Holdings Ltd,Singapore,17.89,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.00%,-1.69%,-1.94%,-1.94%,-1.69%,-0.17%,-6.45%,-4.08%,8.57%,8.57%,29.15%,53.44%,85.30%,115.21%,-5.68%,158.12%,0.08,24.24%,19.13%,54.93%,62.00%,80.33%,,11.75%,-2.61%,839.99,29.4,1234975,0.53,0.52,0.65,0.51,0.58,8.84%,,2024-07-15 08:45:00
7,MWG,Multi Ways Holdings Ltd,Singapore,18.5,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,3.43%,1.69%,1.69%,2.21%,2.42%,1.44%,3.27%,0.20%,12.32%,12.32%,33.60%,58.73%,91.69%,122.63%,-2.42%,167.02%,0.08,24.24%,19.13%,60.27%,67.58%,86.55%,,15.61%,-2.61%,839.99,29.89,1255570,0.53,0.52,0.65,0.51,0.6,12.59%,,2024-07-15 09:00:00
7,MWG,Multi Ways Holdings Ltd,Singapore,19.27,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,1.28%,-0.54%,-0.54%,-0.53%,3.61%,7.74%,5.66%,2.44%,11.63%,17.00%,39.17%,65.34%,99.68%,131.91%,1.64%,178.15%,0.08,24.24%,19.13%,66.95%,74.57%,94.32%,,20.42%,-2.61%,839.99,31.42,1319809,0.53,0.52,0.65,0.51,0.62,17.28%,,2024-07-15 09:15:00
9,MWG,Multi Ways Holdings Ltd,Singapore,19.43,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.02%,1.60%,1.61%,-0.79%,0.17%,2.11%,5.00%,8.43%,8.62%,17.93%,40.28%,66.67%,101.28%,133.77%,2.46%,180.37%,0.07,24.24%,19.13%,68.29%,75.96%,95.88%,,0.83%,17.25%,839.99,34.27,1439138,0.53,0.62,0.62,0.62,0.63,18.22%,,2024-07-15 09:30:00
7,MWG,Multi Ways Holdings Ltd,Singapore,20.35,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-1.62%,-1.17%,0.12%,-4.39%,-9.65%,5.21%,6.97%,11.58%,9.15%,23.55%,46.96%,74.60%,110.86%,144.90%,7.33%,193.72%,0.09,24.24%,19.13%,76.30%,84.34%,105.20%,,5.63%,17.25%,839.99,41.25,2998322,0.53,0.62,0.78,0.62,0.66,23.85%,,2024-07-15 09:45:00
9,MWG,Multi Ways Holdings Ltd,Singapore,18.34,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-1.15%,-2.54%,-2.49%,-3.91%,6.20%,-11.34%,-5.57%,2.53%,-0.67%,11.34%,32.44%,57.35%,90.03%,120.71%,-3.27%,164.71%,0.09,24.24%,19.13%,58.88%,66.13%,84.93%,,-4.80%,17.25%,839.99,36.61,3710104,0.53,0.62,0.78,0.55,0.59,11.62%,,2024-07-15 10:00:00
16,NAK,Northern Dynasty Minerals Ltd.,Canada,198.96,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.6,0.00%,0.00%,0.00%,2.83%,0.00%,1.65%,5.26%,5.26%,5.26%,5.26%,16.21%,30.51%,5.71%,31.21%,45.15%,14.44%,0.02,6.56%,5.52%,22.02%,22.88%,21.42%,5/17/2024 8:30:00 AM,9.96%,-1.09%,999.23,2.13,106171,0.34,0.34,0.37,0.34,0.37,8.76%,,2024-07-15 08:30:00
19,NAK,Northern Dynasty Minerals Ltd.,Canada,198.42,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.6,0.00%,0.00%,0.00%,2.50%,0.00%,-0.27%,1.37%,4.98%,4.98%,4.98%,15.89%,30.16%,5.43%,30.85%,44.76%,14.14%,0.02,6.56%,5.52%,21.69%,22.55%,21.10%,5/17/2024 8:30:00 AM,9.66%,-1.09%,999.23,2.89,144302,0.34,0.34,0.37,0.34,0.37,8.47%,,2024-07-15 08:45:00
18,NAK,Northern Dynasty Minerals Ltd.,Canada,201.59,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.6,-0.03%,0.00%,-0.69%,-1.34%,-0.03%,1.30%,1.32%,6.66%,6.66%,6.66%,17.74%,32.24%,7.11%,32.94%,47.08%,15.96%,0.02,6.56%,5.52%,23.64%,24.51%,23.03%,5/17/2024 8:30:00 AM,11.41%,-1.09%,999.23,4.59,229401,0.34,0.34,0.38,0.34,0.37,10.20%,,2024-07-15 09:00:00
22,NAK,Northern Dynasty Minerals Ltd.,Canada,199.01,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.6,0.03%,-1.80%,-1.83%,-1.96%,-2.61%,-1.28%,0.00%,1.68%,5.29%,5.29%,16.24%,30.55%,5.74%,31.24%,45.19%,14.48%,0.02,6.56%,5.52%,22.06%,22.92%,21.46%,5/17/2024 8:30:00 AM,9.99%,-1.09%,999.23,6.89,344269,0.34,0.34,0.38,0.34,0.37,8.79%,,2024-07-15 09:15:00
42,NAK,Northern Dynasty Minerals Ltd.,Canada,190.89,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.6,0.00%,0.00%,-4.05%,-4.05%,-5.79%,-6.58%,-5.31%,-4.03%,1.00%,1.00%,11.49%,25.22%,1.43%,25.89%,39.27%,9.81%,0.02,6.56%,5.52%,17.08%,17.90%,16.50%,5/17/2024 8:30:00 AM,1.43%,2.88%,999.23,11.4,569498,0.34,0.35,0.36,0.35,0.35,4.35%,,2024-07-15 09:30:00
92,NAK,Northern Dynasty Minerals Ltd.,Canada,196.11,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.6,-0.03%,0.97%,0.97%,0.97%,0.63%,1.31%,-4.03%,-1.46%,3.76%,3.76%,14.54%,28.64%,4.20%,29.33%,43.08%,12.81%,0.02,6.56%,5.52%,20.28%,21.12%,19.68%,5/17/2024 8:30:00 AM,4.20%,2.88%,999.23,8.64,746812,0.34,0.35,0.36,0.35,0.36,7.20%,,2024-07-15 09:45:00
132,NAK,Northern Dynasty Minerals Ltd.,Canada,195.41,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.6,-0.38%,-0.38%,-0.36%,0.39%,-0.19%,0.00%,0.94%,-3.07%,3.39%,3.39%,14.13%,28.18%,3.83%,28.87%,42.57%,12.40%,0.02,6.56%,5.52%,19.85%,20.69%,19.26%,5/17/2024 8:30:00 AM,3.83%,2.88%,999.23,7.19,884439,0.34,0.35,0.37,0.35,0.36,6.82%,,2024-07-15 10:00:00
10,OPTT,Ocean Power Technologies,USA,39.26,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,-0.96%,0.93%,4.08%,18.03%,18.03%,17.62%,18.74%,17.87%,19.89%,19.89%,8.47%,183.29%,82.43%,40.77%,-29.44%,37.34%,0.06,19.73%,21.78%,69.56%,104.60%,54.62%,7/25/2024 4:30:00 PM,19.89%,-1.25%,29053.24,2.04,2961619,0.37,0.36,0.44,0.36,0.43,18.39%,,2024-07-15 08:15:00
11,OPTT,Ocean Power Technologies,USA,38.85,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,-0.09%,3.34%,4.81%,3.69%,6.84%,3.00%,17.51%,17.38%,18.65%,18.65%,7.35%,180.35%,80.54%,39.31%,-30.17%,35.92%,0.06,19.73%,21.78%,67.81%,102.48%,53.01%,7/25/2024 4:30:00 PM,18.65%,-1.25%,29053.24,4.11,5975788,0.37,0.36,0.44,0.36,0.43,17.16%,,2024-07-15 08:30:00
13,OPTT,Ocean Power Technologies,USA,36.81,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,0.00%,0.87%,0.07%,-0.27%,0.22%,-2.96%,-2.42%,11.33%,12.40%,12.40%,1.70%,165.60%,71.04%,31.98%,-33.85%,28.77%,0.06,19.73%,21.78%,58.98%,91.83%,44.96%,7/25/2024 4:30:00 PM,12.40%,-1.25%,29053.24,5.14,7473168,0.37,0.36,0.44,0.36,0.41,10.99%,,2024-07-15 08:45:00
12,OPTT,Ocean Power Technologies,USA,35.91,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,0.51%,-0.15%,1.82%,1.79%,0.81%,-1.71%,-5.32%,8.62%,9.67%,9.67%,-0.77%,159.14%,66.88%,28.77%,-35.46%,25.63%,0.06,19.73%,21.78%,55.11%,87.16%,41.44%,7/25/2024 4:30:00 PM,9.67%,-1.25%,29053.24,5.75,8351206,0.37,0.36,0.44,0.36,0.4,8.29%,,2024-07-15 09:00:00
12,OPTT,Ocean Power Technologies,USA,35.73,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,-0.48%,-0.50%,-0.90%,-0.90%,0.23%,-0.90%,-2.20%,-5.28%,7.28%,9.12%,-1.27%,157.83%,66.04%,28.12%,-35.78%,25.00%,0.06,19.73%,21.78%,54.33%,86.22%,40.72%,7/25/2024 4:30:00 PM,9.12%,-1.25%,29053.24,6.02,8739153,0.37,0.36,0.44,0.36,0.4,7.75%,,2024-07-15 09:15:00
23,OPTT,Ocean Power Technologies,USA,35.64,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,-1.48%,0.18%,-2.45%,-2.14%,-1.10%,-0.51%,-1.15%,-6.03%,7.68%,8.84%,-1.52%,157.18%,65.62%,27.80%,-35.95%,24.68%,0.06,19.73%,21.78%,53.94%,85.75%,40.37%,7/25/2024 4:30:00 PM,0.20%,7.26%,29053.24,6.3,9153102,0.37,0.39,0.39,0.39,0.39,7.47%,,2024-07-15 09:30:00
48,OPTT,Ocean Power Technologies,USA,34.62,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,0.39%,0.21%,-0.08%,-0.60%,-1.64%,-4.09%,-3.36%,-5.25%,4.71%,5.72%,-4.35%,149.80%,60.87%,24.13%,-37.78%,21.11%,0.06,19.73%,21.78%,49.52%,80.42%,36.34%,7/25/2024 4:30:00 PM,-2.67%,7.26%,29053.24,4.5,11303054,0.37,0.39,0.41,0.38,0.38,4.39%,,2024-07-15 09:45:00
73,OPTT,Ocean Power Technologies,USA,36.18,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,0.65%,1.37%,1.73%,2.77%,2.54%,4.28%,0.25%,0.35%,9.44%,10.50%,-0.02%,161.10%,68.14%,29.74%,-34.97%,26.58%,0.06,19.73%,21.78%,56.28%,88.57%,42.50%,7/25/2024 4:30:00 PM,1.73%,7.26%,29053.24,3.56,12739337,0.37,0.39,0.41,0.38,0.4,9.11%,,2024-07-15 10:00:00
2,PHUN,Phunware Inc,USA,63.6,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-0.50%,-0.38%,-1.00%,-2.22%,-2.22%,-1.74%,-1.74%,-1.74%,-1.74%,-1.74%,37.98%,37.02%,8.94%,110.64%,-60.30%,93.17%,0.57,5.96%,7.59%,41.44%,27.81%,-4.27%,5/9/2024 4:30:00 PM,-3.41%,40.65%,364.42,111.11,2024633,5.83,8.2,8.27,7.88,7.92,35.85%,,2024-07-15 07:15:00
3,PHUN,Phunware Inc,USA,62.39,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.13%,-0.51%,-0.51%,1.83%,-0.77%,-4.78%,-0.26%,-3.60%,-3.60%,-3.60%,35.37%,34.43%,6.88%,106.65%,-61.05%,89.51%,0.57,5.96%,7.59%,38.76%,25.39%,-6.09%,5/9/2024 4:30:00 PM,-5.24%,40.65%,364.42,124.0,2259368,5.83,8.2,8.27,7.52,7.77,33.28%,,2024-07-15 07:30:00
3,PHUN,Phunware Inc,USA,62.39,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.13%,-0.51%,-0.51%,1.83%,-0.77%,-4.78%,-0.26%,-3.60%,-3.60%,-3.60%,35.37%,34.43%,6.88%,106.65%,-61.05%,89.51%,0.57,5.96%,7.59%,38.76%,25.39%,-6.09%,5/9/2024 4:30:00 PM,-5.24%,40.65%,364.42,124.0,2259368,5.83,8.2,8.27,7.52,7.77,33.28%,,2024-07-15 07:45:00
4,PHUN,Phunware Inc,USA,57.49,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-3.76%,-4.91%,-5.17%,-6.89%,-7.01%,-7.73%,-12.25%,-11.17%,-11.17%,-11.17%,24.74%,23.88%,-1.51%,90.43%,-64.11%,74.63%,0.57,5.96%,7.59%,27.87%,15.54%,-13.46%,5/9/2024 4:30:00 PM,-12.68%,40.65%,364.42,149.66,2726964,5.83,8.2,8.35,7.03,7.16,22.81%,,2024-07-15 08:00:00
3,PHUN,Phunware Inc,USA,61.03,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,1.33%,0.53%,0.13%,-0.52%,0.62%,2.71%,-2.06%,-0.13%,-5.71%,-5.71%,32.40%,31.49%,4.54%,102.13%,-61.90%,85.37%,0.61,5.96%,7.59%,35.73%,22.64%,-8.14%,5/9/2024 4:30:00 PM,-7.32%,40.65%,364.42,163.24,2974334,5.83,8.2,8.9,7.03,7.6,30.36%,,2024-07-15 08:15:00
3,PHUN,Phunware Inc,USA,62.31,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.00%,1.70%,1.31%,3.19%,5.58%,2.65%,-2.66%,-4.90%,-3.72%,-3.72%,35.19%,34.26%,6.74%,106.38%,-61.10%,89.27%,0.61,5.96%,7.59%,38.58%,25.23%,-6.21%,5/9/2024 4:30:00 PM,-5.37%,40.65%,364.42,169.25,3083939,5.83,8.2,8.9,7.03,7.76,33.10%,,2024-07-15 08:30:00
5,PHUN,Phunware Inc,USA,60.39,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.13%,0.27%,0.27%,1.35%,0.00%,-2.21%,-0.53%,-3.09%,-6.70%,-6.70%,31.01%,30.10%,3.44%,100.00%,-62.31%,83.41%,0.61,5.96%,7.59%,34.30%,21.35%,-9.11%,5/9/2024 4:30:00 PM,-8.29%,40.65%,364.42,173.91,3168923,5.83,8.2,8.9,7.03,7.52,28.99%,,2024-07-15 08:45:00
4,PHUN,Phunware Inc,USA,62.63,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-0.26%,-1.02%,0.52%,1.96%,3.46%,3.04%,1.43%,-2.16%,-3.23%,-3.23%,35.89%,34.95%,7.29%,107.45%,-60.90%,90.24%,0.61,5.96%,7.59%,39.30%,25.87%,-5.72%,5/9/2024 4:30:00 PM,-4.88%,40.65%,364.42,183.12,3336688,5.83,8.2,8.9,7.03,7.8,33.79%,,2024-07-15 09:00:00
4,PHUN,Phunware Inc,USA,62.63,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.65%,1.04%,-0.26%,1.69%,-1.02%,0.00%,3.04%,3.17%,0.13%,-3.23%,35.89%,34.95%,7.29%,107.45%,-60.90%,90.24%,0.61,5.96%,7.59%,39.30%,25.87%,-5.72%,5/9/2024 4:30:00 PM,-4.88%,40.65%,364.42,196.5,3580460,5.83,8.2,8.9,7.03,7.8,33.79%,,2024-07-15 09:15:00
6,PHUN,Phunware Inc,USA,58.3,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-3.20%,-2.68%,-4.47%,-5.10%,-6.32%,-6.68%,-6.92%,-5.59%,-11.03%,-9.92%,26.48%,25.61%,-0.14%,93.09%,-63.61%,77.08%,0.51,5.96%,7.59%,29.66%,17.16%,-12.25%,5/9/2024 4:30:00 PM,-3.33%,28.82%,364.42,214.19,3902709,5.83,7.51,7.49,7.26,7.26,24.53%,,2024-07-15 09:30:00
4,PHUN,Phunware Inc,USA,53.08,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-1.19%,-2.72%,-3.78%,-2.63%,-7.29%,-6.77%,-15.04%,-12.68%,-14.82%,-17.99%,15.16%,14.36%,-9.08%,75.80%,-66.87%,61.22%,0.51,5.96%,7.59%,18.05%,6.67%,-20.11%,5/9/2024 4:30:00 PM,-11.98%,28.82%,364.42,180.57,5694671,5.83,7.51,7.49,6.6,6.61,13.38%,,2024-07-15 09:45:00
6,PHUN,Phunware Inc,USA,54.64,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.06%,0.35%,-0.67%,0.80%,1.85%,3.96%,-4.04%,-12.77%,-14.66%,-15.58%,18.53%,17.71%,-6.41%,80.95%,-65.90%,65.95%,0.51,5.96%,7.59%,21.51%,9.80%,-17.76%,5/9/2024 4:30:00 PM,-9.40%,28.82%,364.42,149.69,6713982,5.83,7.51,7.49,6.51,6.8,16.70%,,2024-07-15 10:00:00
11,POWW,AMMO Inc,USA,212.12,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,0.55%,0.57%,0.57%,0.60%,0.55%,-0.01%,-2.21%,-0.01%,1.13%,1.13%,11.94%,-28.52%,-27.94%,-15.25%,-19.47%,-15.25%,0.11,3.64%,6.72%,3.06%,-18.56%,-22.62%,6/13/2024 4:30:00 PM,-1.67%,9.04%,703.25,2.86,100710,1.66,1.81,1.86,1.74,1.78,7.22%,,2024-07-15 08:15:00
12,POWW,AMMO Inc,USA,212.14,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,0.00%,0.00%,0.00%,-0.56%,-0.54%,0.58%,-2.20%,0.06%,1.14%,1.14%,11.95%,-28.51%,-27.94%,-15.24%,-19.46%,-15.24%,0.11,3.64%,6.72%,3.07%,-18.55%,-22.61%,6/13/2024 4:30:00 PM,-1.66%,9.04%,703.25,3.04,106894,1.66,1.81,1.86,1.74,1.78,7.23%,,2024-07-15 08:30:00
14,POWW,AMMO Inc,USA,210.95,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,-1.12%,-0.56%,-0.03%,-0.53%,-0.02%,-0.56%,0.05%,-2.75%,0.57%,0.57%,11.32%,-28.92%,-28.34%,-15.71%,-19.91%,-15.71%,0.11,3.64%,6.72%,2.49%,-19.01%,-23.05%,6/13/2024 4:30:00 PM,-2.21%,9.04%,703.25,3.13,109933,1.66,1.81,1.86,1.74,1.77,6.63%,,2024-07-15 08:45:00
13,POWW,AMMO Inc,USA,213.33,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,0.56%,0.56%,0.56%,0.02%,0.56%,0.02%,0.56%,-1.65%,1.70%,1.70%,12.58%,-28.11%,-27.53%,-14.76%,-19.00%,-14.76%,0.11,3.64%,6.72%,3.65%,-18.09%,-22.18%,6/13/2024 4:30:00 PM,-1.10%,9.04%,703.25,3.48,122539,1.66,1.81,1.86,1.74,1.79,7.83%,,2024-07-15 09:00:00
13,POWW,AMMO Inc,USA,213.32,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,0.55%,-0.01%,-0.01%,0.03%,-0.01%,-0.01%,0.01%,1.14%,0.56%,1.70%,12.57%,-28.12%,-27.53%,-14.77%,-19.01%,-14.77%,0.11,3.64%,6.72%,3.64%,-18.10%,-22.18%,6/13/2024 4:30:00 PM,-1.11%,9.04%,703.25,3.62,127301,1.66,1.81,1.86,1.74,1.79,7.83%,,2024-07-15 09:15:00
24,POWW,AMMO Inc,USA,214.49,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,-0.57%,-0.57%,-1.61%,-0.57%,1.11%,0.55%,0.54%,1.11%,1.16%,2.26%,13.19%,-27.72%,-27.14%,-14.30%,-18.57%,-14.30%,0.1,3.64%,6.72%,4.21%,-17.65%,-21.75%,6/13/2024 4:30:00 PM,-1.12%,9.64%,703.25,8.22,289170,1.66,1.82,1.82,1.79,1.8,8.42%,,2024-07-15 09:30:00
49,POWW,AMMO Inc,USA,223.46,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,-0.18%,-1.06%,-1.32%,-3.35%,-0.63%,4.17%,4.75%,4.77%,3.02%,6.53%,17.92%,-24.70%,-24.09%,-10.71%,-15.16%,-10.71%,0.11,3.64%,6.72%,8.57%,-14.20%,-18.48%,6/13/2024 4:30:00 PM,3.02%,9.64%,703.25,16.13,981476,1.66,1.82,1.96,1.79,1.88,12.95%,,2024-07-15 09:45:00
