No.,Ticker,Company,Country,Market Cap,P/E,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Earnings Date,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,After-Hours Close,timestamp
10,MA,Mastercard Incorporated,USA,416469.76,35.61,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.74%,0.67%,-2.56%,4.40%,11.30%,5.04%,6.7,1.44%,1.42%,0.40%,-0.18%,2.39%,5/1/2024 8:30:00 AM,0.90%,0.00%,2538.27,2.52,319505,444.0,444.0,448.0,444.0,448.0,0.90%,,2024-07-16 08:00:00
12,MA,Mastercard Incorporated,USA,413671.59,35.37,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.4,0.00%,0.00%,0.20%,0.20%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.07%,-0.00%,-3.22%,3.70%,10.55%,4.33%,6.72,1.44%,1.42%,-0.27%,-0.85%,1.70%,5/1/2024 8:30:00 AM,0.22%,0.00%,2538.27,2.52,319622,444.0,444.0,448.25,444.0,444.99,0.22%,,2024-07-16 08:15:00
13,MA,Mastercard Incorporated,USA,413671.59,35.37,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.4,0.00%,0.00%,0.20%,0.20%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.07%,-0.00%,-3.22%,3.70%,10.55%,4.33%,6.72,1.44%,1.42%,-0.27%,-0.85%,1.70%,5/1/2024 8:30:00 AM,0.22%,0.00%,2538.27,2.52,319660,444.0,444.0,448.25,444.0,444.99,0.22%,,2024-07-16 08:30:00
14,MA,Mastercard Incorporated,USA,413671.59,35.37,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.4,0.00%,0.00%,0.20%,0.20%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.07%,-0.00%,-3.22%,3.70%,10.55%,4.33%,6.72,1.44%,1.42%,-0.27%,-0.85%,1.70%,5/1/2024 8:30:00 AM,0.22%,0.00%,2538.27,2.52,319674,444.0,444.0,448.25,444.0,444.99,0.22%,,2024-07-16 08:45:00
15,MA,Mastercard Incorporated,USA,413680.9,35.37,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.4,0.00%,0.00%,0.00%,0.00%,-0.14%,-0.11%,-0.11%,0.23%,0.23%,0.23%,0.07%,0.00%,-3.22%,3.71%,10.56%,4.34%,6.72,1.44%,1.42%,-0.27%,-0.85%,1.70%,5/1/2024 8:30:00 AM,0.23%,0.00%,2538.27,2.52,319786,444.0,444.0,448.25,444.0,445.0,0.23%,,2024-07-16 09:00:00
18,MA,Mastercard Incorporated,USA,414136.4,35.41,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.4,0.00%,0.00%,0.00%,0.00%,0.11%,0.11%,-0.00%,0.11%,0.34%,0.34%,0.18%,0.11%,-3.11%,3.82%,10.68%,4.45%,6.72,1.44%,1.42%,-0.16%,-0.74%,1.81%,5/1/2024 8:30:00 AM,0.34%,0.00%,2538.27,2.52,319884,444.0,444.0,448.25,444.0,445.49,0.34%,,2024-07-16 09:15:00
29,MA,Mastercard Incorporated,USA,415224.07,35.5,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.4,0.00%,-0.34%,0.04%,0.23%,0.04%,0.26%,0.37%,0.26%,0.60%,0.60%,0.44%,0.37%,-2.86%,4.09%,10.97%,4.72%,6.63,1.44%,1.42%,0.10%,-0.48%,2.08%,5/1/2024 8:30:00 AM,-0.09%,0.69%,2538.27,2.84,360575,444.0,447.07,446.98,446.97,446.66,0.60%,,2024-07-16 09:30:00
7,MTNB,Matinas Biopharma Holdings Inc,USA,46.45,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.62%,15.75%,-8.54%,-18.41%,-49.12%,-14.34%,0.01,5.66%,5.40%,14.59%,12.47%,-12.19%,5/9/2024 4:30:00 PM,0.00%,1.42%,930.26,2.32,107718,0.18,0.19,0.19,0.19,0.19,1.42%,,2024-07-16 07:45:00
8,MTNB,Matinas Biopharma Holdings Inc,USA,45.9,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.19%,-1.19%,-1.19%,-1.19%,12.27%,14.38%,-9.63%,-19.38%,-49.73%,-15.36%,0.01,5.66%,5.40%,13.23%,11.13%,-13.23%,5/9/2024 4:30:00 PM,-1.19%,1.42%,930.26,2.42,112489,0.18,0.19,0.19,0.18,0.18,0.22%,,2024-07-16 08:00:00
10,MTNB,Matinas Biopharma Holdings Inc,USA,46.45,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,1.15%,0.00%,0.00%,1.20%,1.20%,0.00%,0.00%,0.00%,13.62%,15.75%,-8.54%,-18.41%,-49.12%,-14.34%,0.01,5.66%,5.40%,14.59%,12.47%,-12.19%,5/9/2024 4:30:00 PM,0.00%,1.42%,930.26,2.6,121062,0.18,0.19,0.19,0.18,0.19,1.42%,,2024-07-16 08:15:00
11,MTNB,Matinas Biopharma Holdings Inc,USA,46.43,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,-0.05%,-0.05%,-0.05%,-0.05%,-0.05%,1.15%,-0.05%,-0.05%,-0.05%,13.56%,15.69%,-8.59%,-18.46%,-49.15%,-14.38%,0.01,5.66%,5.40%,14.53%,12.41%,-12.23%,5/9/2024 4:30:00 PM,-0.05%,1.42%,930.26,2.66,123682,0.18,0.19,0.19,0.18,0.19,1.37%,,2024-07-16 08:30:00
12,MTNB,Matinas Biopharma Holdings Inc,USA,46.4,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,0.00%,0.00%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,13.50%,15.62%,-8.64%,-18.50%,-49.18%,-14.43%,0.01,5.66%,5.40%,14.47%,12.34%,-12.28%,5/9/2024 4:30:00 PM,-0.11%,1.42%,930.26,2.83,131536,0.18,0.19,0.19,0.18,0.19,1.31%,,2024-07-16 08:45:00
13,MTNB,Matinas Biopharma Holdings Inc,USA,46.4,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,0.00%,0.00%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,13.50%,15.62%,-8.64%,-18.50%,-49.18%,-14.43%,0.01,5.66%,5.40%,14.47%,12.34%,-12.28%,5/9/2024 4:30:00 PM,-0.11%,1.42%,930.26,2.83,131551,0.18,0.19,0.19,0.18,0.19,1.31%,,2024-07-16 09:00:00
16,MTNB,Matinas Biopharma Holdings Inc,USA,47.38,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,-0.05%,-0.05%,-0.05%,2.05%,2.05%,2.00%,2.00%,2.00%,2.00%,2.00%,15.89%,18.06%,-6.72%,-16.78%,-48.10%,-12.63%,0.01,5.66%,5.40%,16.88%,14.71%,-10.43%,5/9/2024 4:30:00 PM,2.00%,1.42%,930.26,3.09,143623,0.18,0.19,0.19,0.18,0.19,3.45%,,2024-07-16 09:15:00
22,MTNB,Matinas Biopharma Holdings Inc,USA,46.93,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,0.00%,0.00%,-0.95%,-0.95%,1.03%,1.08%,1.03%,1.03%,14.79%,16.94%,-7.60%,-17.58%,-48.60%,-13.46%,0.01,5.66%,5.40%,15.77%,13.62%,-11.28%,5/9/2024 4:30:00 PM,0.00%,2.46%,930.26,3.53,164319,0.18,0.19,0.19,0.18,0.19,2.46%,,2024-07-16 09:30:00
73,MTNB,Matinas Biopharma Holdings Inc,USA,47.18,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,-0.53%,-0.42%,-0.21%,0.05%,1.51%,0.53%,-0.42%,1.57%,2.79%,1.57%,15.40%,17.56%,-7.11%,-17.14%,-48.32%,-13.00%,0.01,5.66%,5.40%,16.39%,14.23%,-10.81%,5/9/2024 4:30:00 PM,0.53%,2.46%,930.26,3.53,276151,0.18,0.19,0.19,0.19,0.19,3.01%,,2024-07-16 09:45:00
111,MTNB,Matinas Biopharma Holdings Inc,USA,47.48,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,1.39%,1.39%,1.39%,1.94%,3.33%,0.11%,1.18%,2.21%,3.44%,2.21%,16.13%,18.31%,-6.52%,-16.61%,-47.99%,-12.44%,0.01,5.66%,5.40%,17.13%,14.96%,-10.24%,5/9/2024 4:30:00 PM,1.18%,2.46%,930.26,3.96,443965,0.18,0.19,0.19,0.18,0.19,3.67%,,2024-07-16 10:00:00
11,PG,Procter & Gamble Co.,USA,389989.55,27.02,2358.82,0.06%,-27.91%,67.83%,-1.25%,0.85%,3.31,20.1,0.00%,0.00%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,-0.25%,-0.70%,6.30%,9.72%,10.12%,12.76%,2.0,1.04%,1.29%,-0.59%,-0.46%,5.62%,7/30/2024 8:30:00 AM,0.23%,0.17%,6082.73,2.28,693956,164.58,164.86,165.24,164.58,165.24,0.40%,,2024-07-16 08:00:00
13,PG,Procter & Gamble Co.,USA,389187.07,26.96,2358.82,0.06%,-27.91%,67.83%,-1.25%,0.85%,3.31,20.1,0.19%,0.19%,0.19%,0.19%,0.03%,0.00%,0.02%,0.02%,0.02%,0.02%,-0.46%,-0.91%,6.08%,9.50%,9.90%,12.53%,2.03,1.04%,1.29%,-0.80%,-0.67%,5.41%,7/30/2024 8:30:00 AM,0.02%,0.17%,6082.73,2.28,694342,164.58,164.86,165.24,164.17,164.9,0.19%,,2024-07-16 08:15:00
14,PG,Procter & Gamble Co.,USA,389163.48,26.96,2358.82,0.06%,-27.91%,67.83%,-1.25%,0.85%,3.31,20.1,0.00%,0.00%,0.00%,-0.00%,0.04%,0.19%,-0.00%,0.02%,0.02%,0.02%,-0.46%,-0.91%,6.07%,9.49%,9.89%,12.52%,2.03,1.04%,1.29%,-0.80%,-0.67%,5.40%,7/30/2024 8:30:00 AM,0.02%,0.17%,6082.73,2.28,694689,164.58,164.86,165.24,164.17,164.89,0.19%,,2024-07-16 08:30:00
15,PG,Procter & Gamble Co.,USA,389187.07,26.96,2358.82,0.06%,-27.91%,67.83%,-1.25%,0.85%,3.31,20.1,0.00%,0.00%,0.02%,0.02%,0.04%,0.01%,0.19%,0.02%,0.02%,0.02%,-0.46%,-0.91%,6.08%,9.50%,9.90%,12.53%,2.03,1.04%,1.29%,-0.80%,-0.67%,5.41%,7/30/2024 8:30:00 AM,0.02%,0.17%,6082.73,2.28,694788,164.58,164.86,165.24,164.17,164.9,0.19%,,2024-07-16 08:45:00
16,PG,Procter & Gamble Co.,USA,389045.47,26.95,2358.82,0.06%,-27.91%,67.83%,-1.25%,0.85%,3.31,20.1,0.00%,0.00%,-0.03%,-0.04%,-0.01%,-0.01%,0.00%,-0.03%,-0.01%,-0.01%,-0.49%,-0.94%,6.04%,9.46%,9.86%,12.49%,2.03,1.04%,1.29%,-0.83%,-0.70%,5.37%,7/30/2024 8:30:00 AM,-0.01%,0.17%,6082.73,2.29,695199,164.58,164.86,165.24,164.17,164.84,0.16%,,2024-07-16 09:00:00
19,PG,Procter & Gamble Co.,USA,388998.29,26.95,2358.82,0.06%,-27.91%,67.83%,-1.25%,0.85%,3.31,20.1,0.00%,0.00%,0.00%,0.00%,-0.01%,-0.01%,-0.02%,-0.05%,-0.02%,-0.02%,-0.51%,-0.96%,6.03%,9.44%,9.84%,12.47%,2.03,1.04%,1.29%,-0.84%,-0.72%,5.36%,7/30/2024 8:30:00 AM,-0.02%,0.17%,6082.73,2.29,695644,164.58,164.86,165.24,164.17,164.82,0.15%,,2024-07-16 09:15:00
31,PG,Procter & Gamble Co.,USA,389104.49,26.96,2358.82,0.06%,-27.91%,67.83%,-1.25%,0.85%,3.31,20.1,0.00%,0.10%,0.00%,0.00%,0.03%,0.03%,0.02%,0.02%,0.00%,0.00%,-0.48%,-0.93%,6.06%,9.47%,9.87%,12.51%,2.03,1.04%,1.29%,-0.82%,-0.69%,5.39%,7/30/2024 8:30:00 AM,0.02%,0.16%,6082.73,2.29,696556,164.58,164.84,165.24,164.17,164.87,0.17%,,2024-07-16 09:30:00
3,SIEB,Siebert Financial Corp.,USA,70.59,8.21,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,-1.67%,-1.67%,-3.80%,-3.80%,-3.80%,-3.80%,-3.80%,-3.80%,-3.80%,-3.80%,2.32%,-2.75%,-15.71%,-4.20%,-24.68%,5.36%,0.11,2.43%,6.23%,3.32%,-12.01%,-5.57%,,-3.80%,6.98%,16.53,302.32,249864,1.72,1.84,1.84,1.77,1.77,2.91%,,2024-07-16 07:00:00
3,SIEB,Siebert Financial Corp.,USA,70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,-2.22%,-4.35%,-4.35%,-4.35%,-4.35%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,305.52,252511,1.72,1.84,1.84,1.76,1.76,2.33%,,2024-07-16 07:15:00
3,SIEB,Siebert Financial Corp.,USA,70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,0.00%,0.00%,-2.22%,-4.35%,-4.35%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,307.02,253749,1.72,1.84,1.84,1.76,1.76,2.33%,,2024-07-16 07:30:00
3,SIEB,Siebert Financial Corp.,USA,70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,0.00%,0.00%,-2.22%,-4.35%,-4.35%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,312.81,258539,1.72,1.84,1.84,1.76,1.76,2.33%,,2024-07-16 07:45:00
4,SIEB,Siebert Financial Corp.,USA,70.59,8.21,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,0.00%,0.00%,0.57%,0.57%,-3.80%,-3.80%,-3.80%,2.32%,-2.75%,-15.71%,-4.20%,-24.68%,5.36%,0.11,2.43%,6.23%,3.32%,-12.01%,-5.57%,,-3.80%,6.98%,16.53,325.44,268974,1.72,1.84,1.9,1.74,1.77,2.91%,,2024-07-16 08:00:00
4,SIEB,Siebert Financial Corp.,USA,71.78,8.35,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,-0.55%,-1.07%,1.69%,2.27%,2.27%,-2.17%,-2.17%,4.05%,-1.10%,-14.29%,-2.58%,-23.40%,7.14%,0.11,2.43%,6.23%,5.08%,-10.52%,-3.97%,,-2.17%,6.98%,16.53,379.55,313695,1.72,1.84,1.92,1.74,1.8,4.65%,,2024-07-16 08:15:00
4,SIEB,Siebert Financial Corp.,USA,70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,0.00%,-2.76%,-2.22%,-0.56%,0.00%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,423.14,349722,1.72,1.84,1.92,1.74,1.76,2.33%,,2024-07-16 08:30:00
4,SIEB,Siebert Financial Corp.,USA,70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.03%,1.71%,1.87%,1.87%,0.07%,0.00%,-2.22%,0.00%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,433.1,357953,1.72,1.84,1.92,1.73,1.76,2.33%,,2024-07-16 08:45:00
4,SIEB,Siebert Financial Corp.,USA,69.79,8.12,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,-2.76%,-2.76%,-3.31%,-0.57%,-0.53%,0.00%,-1.13%,-4.89%,-4.89%,1.16%,-3.85%,-16.67%,-5.28%,-25.53%,4.17%,0.11,2.43%,6.23%,2.16%,-13.01%,-6.64%,,-4.89%,6.98%,16.53,440.92,364422,1.72,1.84,1.92,1.73,1.75,1.74%,,2024-07-16 09:00:00
5,SIEB,Siebert Financial Corp.,USA,70.59,8.21,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,-0.56%,-0.56%,-0.56%,2.91%,0.57%,-1.65%,0.60%,-1.67%,0.57%,-3.80%,2.32%,-2.75%,-15.71%,-4.20%,-24.68%,5.36%,0.11,2.43%,6.23%,3.32%,-12.01%,-5.57%,,-3.80%,6.98%,16.53,452.58,374060,1.72,1.84,1.92,1.72,1.77,2.91%,,2024-07-16 09:15:00
8,TKLF,Yoshitsu Co Ltd ADR,Japan,16.97,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.5,1.10%,0.26%,-1.45%,1.04%,8.91%,67.21%,57.80%,57.80%,73.41%,73.41%,82.96%,114.67%,97.89%,-32.49%,-63.42%,-33.18%,0.04,16.52%,10.35%,86.03%,94.44%,-5.84%,7/16/2024 8:30:00 AM,73.41%,-11.84%,2213.94,81.63,9036761,0.31,0.27,0.5,0.27,0.47,52.88%,,2024-07-16 08:15:00
7,TKLF,Yoshitsu Co Ltd ADR,Japan,16.18,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.5,-1.04%,3.55%,3.14%,-2.11%,-9.18%,-5.10%,59.43%,50.45%,65.33%,65.33%,74.44%,104.68%,88.67%,-35.63%,-65.13%,-36.29%,0.05,16.52%,10.35%,77.37%,85.38%,-10.22%,7/16/2024 8:30:00 AM,65.33%,-11.84%,2213.94,161.67,17896477,0.31,0.27,0.52,0.27,0.45,45.76%,,2024-07-16 08:30:00
7,TKLF,Yoshitsu Co Ltd ADR,Japan,15.41,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.5,-4.02%,-5.09%,-4.98%,-5.55%,-2.81%,-5.41%,-9.63%,43.28%,57.44%,57.44%,66.12%,94.91%,79.67%,-38.70%,-66.79%,-39.33%,0.05,16.52%,10.35%,68.91%,76.54%,-14.50%,7/16/2024 8:30:00 AM,57.44%,-11.84%,2213.94,184.52,20425586,0.31,0.27,0.52,0.27,0.43,38.81%,,2024-07-16 08:45:00
8,TKLF,Yoshitsu Co Ltd ADR,Japan,15.99,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.5,1.52%,2.82%,3.76%,5.05%,2.58%,0.85%,-1.87%,57.50%,63.33%,63.33%,72.33%,102.20%,86.39%,-36.41%,-65.55%,-37.06%,0.05,16.52%,10.35%,75.22%,83.14%,-11.31%,7/16/2024 8:30:00 AM,63.33%,-11.84%,2213.94,202.34,22398808,0.31,0.27,0.52,0.27,0.44,44.00%,,2024-07-16 09:00:00
10,TKLF,Yoshitsu Co Ltd ADR,Japan,16.08,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.5,0.00%,1.35%,4.23%,4.40%,4.55%,1.03%,1.42%,-5.72%,49.48%,64.26%,73.31%,103.35%,87.45%,-36.05%,-65.35%,-36.71%,0.05,16.52%,10.35%,76.22%,84.18%,-10.80%,7/16/2024 8:30:00 AM,64.26%,-11.84%,2213.94,214.76,23773574,0.31,0.27,0.52,0.27,0.44,44.82%,,2024-07-16 09:15:00
9,TKLF,Yoshitsu Co Ltd ADR,Japan,15.95,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.5,2.33%,2.30%,2.30%,2.33%,0.14%,-2.00%,0.23%,-2.09%,48.30%,62.96%,71.94%,101.74%,85.97%,-36.55%,-65.62%,-37.21%,0.04,16.52%,10.35%,74.83%,82.72%,-11.51%,7/16/2024 8:30:00 AM,2.92%,39.59%,2213.94,232.63,25751361,0.31,0.43,0.44,0.43,0.44,43.67%,,2024-07-16 09:30:00
20,TKLF,Yoshitsu Co Ltd ADR,Japan,18.22,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.5,0.32%,-5.53%,-5.81%,-4.65%,3.29%,17.65%,11.92%,14.91%,69.36%,86.11%,96.37%,130.40%,112.38%,-27.54%,-60.74%,-28.29%,0.05,16.52%,10.35%,99.66%,108.68%,1.06%,7/16/2024 8:30:00 AM,17.54%,39.59%,2213.94,323.49,61978761,0.31,0.43,0.58,0.38,0.5,64.08%,,2024-07-16 09:45:00
33,TKLF,Yoshitsu Co Ltd ADR,Japan,19.86,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.5,0.70%,0.53%,-1.51%,-5.54%,0.50%,12.79%,28.26%,24.78%,95.64%,102.89%,114.07%,151.17%,131.53%,-21.01%,-57.20%,-21.82%,0.05,16.52%,10.35%,117.66%,127.49%,10.17%,7/16/2024 8:30:00 AM,28.14%,39.59%,2213.94,356.58,97162065,0.31,0.43,0.6,0.38,0.55,78.87%,,2024-07-16 10:00:00
8,TOYO,TOYO Co Ltd.,Japan,134.2,15.98,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,-0.61%,-0.61%,-0.65%,-1.36%,-2.31%,-0.27%,3.88%,6.63%,6.24%,6.24%,87.81%,-69.16%,-73.96%,-72.92%,-70.86%,-73.58%,1.18,25.64%,25.84%,-44.72%,-64.86%,-71.37%,,6.24%,-4.20%,1266.77,3.11,197180,2.86,2.74,3.06,2.65,2.91,1.79%,,2024-07-16 08:30:00
8,TOYO,TOYO Co Ltd.,Japan,133.18,15.86,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,-0.03%,-0.03%,-1.02%,-1.70%,-1.70%,-0.76%,-2.40%,2.48%,5.44%,5.44%,86.39%,-69.40%,-74.16%,-73.13%,-71.08%,-73.78%,1.18,25.64%,25.84%,-45.14%,-65.13%,-71.59%,,5.44%,-4.20%,1266.77,3.46,219350,2.86,2.74,3.06,2.65,2.89,1.01%,,2024-07-16 08:45:00
9,TOYO,TOYO Co Ltd.,Japan,135.53,16.14,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,0.08%,-0.34%,-0.34%,0.43%,0.68%,1.77%,0.99%,4.91%,7.30%,7.30%,89.68%,-68.86%,-73.70%,-72.65%,-70.57%,-73.32%,1.18,25.64%,25.84%,-44.18%,-64.51%,-71.09%,,7.30%,-4.20%,1266.77,3.78,239150,2.86,2.74,3.06,2.65,2.94,2.80%,,2024-07-16 09:00:00
11,TOYO,TOYO Co Ltd.,Japan,134.1,15.97,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,0.00%,-1.06%,0.27%,0.30%,-0.03%,-0.98%,0.65%,-0.34%,6.16%,6.16%,87.67%,-69.19%,-73.98%,-72.94%,-70.88%,-73.60%,1.18,25.64%,25.84%,-44.77%,-64.89%,-71.39%,,6.16%,-4.20%,1266.77,3.93,249179,2.86,2.74,3.06,2.65,2.91,1.71%,,2024-07-16 09:15:00
10,TOYO,TOYO Co Ltd.,Japan,133.65,15.91,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,0.01%,0.28%,0.01%,0.01%,-0.06%,-0.33%,-0.03%,-0.41%,5.08%,5.81%,87.05%,-69.29%,-74.07%,-73.03%,-70.98%,-73.69%,1.15,25.64%,25.84%,-44.95%,-65.01%,-71.49%,,0.15%,1.22%,1266.77,4.21,266455,2.86,2.89,2.89,2.86,2.9,1.37%,,2024-07-16 09:30:00
24,TOYO,TOYO Co Ltd.,Japan,133.92,15.94,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,-0.85%,-0.82%,-2.26%,-2.19%,-4.16%,0.21%,-0.13%,0.52%,3.05%,6.02%,87.42%,-69.23%,-74.02%,-72.98%,-70.92%,-73.64%,1.16,25.64%,25.84%,-44.84%,-64.94%,-71.43%,,0.35%,1.22%,1266.77,4.62,492364,2.86,2.89,3.1,2.86,2.9,1.57%,,2024-07-16 09:45:00
41,TOYO,TOYO Co Ltd.,Japan,132.26,15.75,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,0.63%,0.40%,-0.38%,0.49%,-2.05%,-3.16%,-1.16%,-1.07%,2.38%,4.71%,85.10%,-69.61%,-74.34%,-73.31%,-71.28%,-73.97%,1.17,25.64%,25.84%,-45.52%,-65.37%,-71.79%,,-0.90%,1.22%,1266.77,3.9,607595,2.86,2.89,3.1,2.82,2.87,0.31%,,2024-07-16 10:00:00
