No.,Ticker,Company,Country,Market Cap,P/E,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Short Float,Short Ratio,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,After-Hours Close,After-Hours Change,timestamp
5,SGMO,Sangamo Therapeutics Inc,USA,205.46,,186.71,10.03%,0.00%,48.37%,6.83%,6.82%,1.14,12.73,0.01%,-0.63%,3.16%,7.62%,11.21%,23.76%,23.76%,23.76%,22.23%,22.23%,41.44%,210.96%,88.05%,76.80%,-16.09%,82.24%,0.17,29.50%,25.78%,73.64%,89.61%,74.11%,22.23%,5.48%,11126.08,8.06,4483519,0.77,0.81,1.02,0.8,0.99,28.94%,,,2024-08-06 08:15:00
8,SGMO,Sangamo Therapeutics Inc,USA,198.3,,186.71,10.03%,0.00%,48.37%,6.83%,6.82%,1.14,12.73,0.00%,-0.46%,-0.43%,-1.04%,-3.48%,-0.56%,19.45%,19.45%,17.98%,17.98%,36.51%,200.13%,81.50%,70.64%,-19.02%,75.89%,0.17,29.50%,25.78%,67.59%,83.00%,68.04%,17.98%,5.48%,11126.08,13.78,7663320,0.77,0.81,1.05,0.8,0.96,24.44%,,,2024-08-06 08:30:00
9,SGMO,Sangamo Therapeutics Inc,USA,217.89,,186.71,10.03%,0.00%,48.37%,6.83%,6.82%,1.14,12.73,0.00%,-0.94%,0.96%,0.00%,3.96%,9.49%,9.26%,31.25%,29.63%,29.63%,50.00%,229.77%,99.43%,87.50%,-11.02%,93.26%,0.17,29.50%,25.78%,84.14%,101.08%,84.64%,29.63%,5.48%,11126.08,20.24,11257315,0.77,0.81,1.06,0.8,1.05,36.74%,,,2024-08-06 08:45:00
9,SGMO,Sangamo Therapeutics Inc,USA,230.34,,186.71,10.03%,0.00%,48.37%,6.83%,6.82%,1.14,12.73,0.00%,0.00%,1.83%,2.78%,-0.89%,2.78%,15.75%,38.75%,37.04%,37.04%,58.57%,248.62%,110.83%,98.21%,-5.93%,104.31%,0.17,29.50%,25.78%,94.66%,112.57%,95.19%,37.04%,5.48%,11126.08,25.78,14339382,0.77,0.81,1.15,0.8,1.11,44.55%,,,2024-08-06 09:00:00
10,SGMO,Sangamo Therapeutics Inc,USA,226.19,,186.71,10.03%,0.00%,48.37%,6.83%,6.82%,1.14,12.73,0.00%,-0.91%,2.83%,3.81%,-1.80%,-5.22%,0.93%,13.42%,36.25%,34.57%,55.71%,242.34%,107.03%,94.64%,-7.63%,100.63%,0.18,29.50%,25.78%,91.16%,108.74%,91.67%,34.57%,5.48%,11126.08,29.49,16404537,0.77,0.81,1.16,0.8,1.09,41.95%,,,2024-08-06 09:15:00
17,SGMO,Sangamo Therapeutics Inc,USA,205.43,,186.71,10.03%,0.00%,48.37%,6.83%,6.82%,1.14,12.73,-6.60%,-5.71%,-5.71%,-7.48%,-10.00%,-9.99%,-13.91%,3.23%,23.75%,22.22%,41.43%,210.93%,88.03%,76.79%,-16.10%,82.22%,0.17,29.50%,25.78%,73.62%,89.59%,74.09%,-5.71%,36.74%,11126.08,32.32,17980843,0.77,1.05,1.05,0.98,0.99,28.92%,,,2024-08-06 09:30:00
59,SGMO,Sangamo Therapeutics Inc,USA,219.92,,186.71,10.03%,0.00%,48.37%,6.83%,6.82%,1.14,12.73,0.55%,-0.95%,-0.95%,2.89%,8.15%,3.90%,-3.65%,-1.87%,32.48%,30.84%,51.40%,232.85%,101.29%,89.25%,-10.19%,95.07%,0.17,29.50%,25.78%,85.86%,102.96%,86.36%,0.93%,36.74%,11126.08,28.88,27808921,0.77,1.05,1.08,0.93,1.06,38.01%,,,2024-08-06 09:45:00
84,SGMO,Sangamo Therapeutics Inc,USA,215.96,,186.71,10.03%,0.00%,48.37%,6.83%,6.82%,1.14,12.73,-0.89%,-0.97%,-2.28%,-2.74%,0.86%,-0.05%,2.03%,-9.50%,30.09%,28.48%,48.67%,226.85%,97.66%,85.84%,-11.81%,91.55%,0.17,29.50%,25.78%,82.51%,99.30%,83.01%,-0.89%,36.74%,11126.08,26.25,35948665,0.77,1.05,1.12,0.93,1.04,35.53%,,,2024-08-06 10:00:00
4,TGTX,TG Therapeutics Inc,USA,3065.92,89.97,137.71,10.89%,-0.31%,57.91%,-5.76%,23.37%,12.17,32.18,0.00%,1.13%,1.22%,1.32%,1.74%,1.90%,-1.93%,-2.89%,8.77%,8.77%,3.27%,1.48%,20.16%,29.58%,85.24%,16.15%,1.26,6.63%,5.51%,-2.11%,7.68%,27.19%,11.39%,3.49%,2644.03,2.22,293013,17.21,17.81,20.5,17.8,19.84,15.28%,,,2024-08-06 08:15:00
7,TGTX,TG Therapeutics Inc,USA,3121.71,91.61,137.71,10.89%,-0.31%,57.91%,-5.76%,23.37%,12.17,32.18,0.45%,0.45%,0.25%,0.50%,1.51%,1.76%,3.07%,-0.98%,10.75%,10.75%,5.15%,3.32%,22.35%,31.94%,88.61%,18.27%,1.26,6.63%,5.51%,-0.33%,9.64%,29.50%,13.42%,3.49%,2644.03,2.39,316076,17.21,17.81,20.5,17.8,20.2,17.37%,,,2024-08-06 08:30:00
7,TGTX,TG Therapeutics Inc,USA,3090.8,90.7,137.71,10.89%,-0.31%,57.91%,-5.76%,23.37%,12.17,32.18,0.40%,0.05%,0.40%,0.25%,0.00%,-0.55%,0.81%,-1.14%,9.65%,9.65%,4.11%,2.30%,21.14%,30.63%,86.74%,17.10%,1.26,6.63%,5.51%,-1.32%,8.56%,28.22%,12.30%,3.49%,2644.03,2.79,368837,17.21,17.81,20.5,17.8,20.0,16.21%,,,2024-08-06 08:45:00
7,TGTX,TG Therapeutics Inc,USA,2991.89,87.8,137.71,10.89%,-0.31%,57.91%,-5.76%,23.37%,12.17,32.18,-0.67%,-0.67%,0.16%,0.73%,-3.15%,-3.20%,-3.73%,-0.56%,6.14%,6.14%,0.78%,-0.97%,17.26%,26.45%,80.77%,13.35%,1.26,6.63%,5.51%,-4.48%,5.08%,24.12%,8.70%,3.49%,2644.03,3.01,397846,17.21,17.81,20.5,17.8,19.36,12.49%,,,2024-08-06 09:00:00
8,TGTX,TG Therapeutics Inc,USA,3021.26,88.66,137.71,10.89%,-0.31%,57.91%,-5.76%,23.37%,12.17,32.18,0.26%,0.26%,0.26%,0.00%,-0.26%,0.26%,-2.25%,-1.51%,-3.31%,7.18%,1.77%,0.00%,18.41%,27.69%,82.54%,14.46%,1.26,6.63%,5.51%,-3.54%,6.11%,25.33%,9.77%,3.49%,2644.03,3.08,406569,17.21,17.81,20.5,17.8,19.55,13.60%,,,2024-08-06 09:15:00
14,TGTX,TG Therapeutics Inc,USA,2913.08,85.49,137.71,10.89%,-0.31%,57.91%,-5.76%,23.37%,12.17,32.18,-1.82%,-2.03%,-2.68%,-2.03%,-2.63%,-2.86%,-3.33%,-5.75%,-7.60%,3.34%,-1.87%,-3.58%,14.17%,23.12%,76.00%,10.36%,1.17,6.63%,5.51%,-6.99%,2.31%,20.85%,-2.00%,11.77%,2644.03,5.09,672246,17.21,19.24,19.17,18.84,18.85,9.53%,,,2024-08-06 09:30:00
48,TGTX,TG Therapeutics Inc,USA,3127.91,91.79,137.71,10.89%,-0.31%,57.91%,-5.76%,23.37%,12.17,32.18,0.32%,1.53%,1.63%,2.17%,6.30%,7.89%,4.31%,1.20%,0.70%,10.97%,5.36%,3.53%,22.59%,32.20%,88.98%,18.50%,1.25,6.63%,5.51%,-0.13%,9.86%,29.76%,5.23%,11.77%,2644.03,8.05,1841509,17.21,19.24,20.29,18.65,20.24,17.61%,,,2024-08-06 09:45:00
67,TGTX,TG Therapeutics Inc,USA,3091.57,90.73,137.71,10.89%,-0.31%,57.91%,-5.76%,23.37%,12.17,32.18,-0.02%,0.52%,-0.39%,0.58%,-0.37%,-0.34%,6.64%,2.59%,2.07%,9.68%,4.14%,2.33%,21.17%,30.67%,86.79%,17.13%,1.25,6.63%,5.51%,-1.29%,8.58%,28.25%,4.00%,11.77%,2644.03,8.69,2829343,17.21,19.24,20.29,18.65,20.0,16.24%,,,2024-08-06 10:00:00
1,VSEE,VSee Health Inc.,USA,48.18,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,3.47%,-3.81%,-2.41%,-6.02%,-6.82%,6.84%,14.29%,14.29%,14.29%,14.29%,41.99%,-54.41%,-72.67%,-73.55%,-67.78%,-73.11%,1.61,33.33%,25.38%,-26.60%,-66.37%,-71.46%,14.29%,7.49%,959.54,22.59,1083915,2.67,2.87,4.05,2.73,3.28,22.85%,,,2024-08-06 07:30:00
1,VSEE,VSee Health Inc.,USA,47.89,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,-0.31%,-0.31%,0.00%,-2.40%,-4.12%,-0.61%,6.19%,13.59%,13.59%,13.59%,41.13%,-54.69%,-72.83%,-73.71%,-67.98%,-73.28%,1.61,33.33%,25.38%,-27.05%,-66.57%,-71.63%,13.59%,7.49%,959.54,26.15,1254525,2.67,2.87,4.05,2.73,3.26,22.10%,,,2024-08-06 07:45:00
1,VSEE,VSee Health Inc.,USA,48.62,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,-0.90%,0.61%,-1.19%,-1.19%,0.61%,-1.78%,-2.93%,15.33%,15.33%,15.33%,43.29%,-53.99%,-72.42%,-73.31%,-67.49%,-72.87%,1.61,33.33%,25.38%,-25.93%,-66.06%,-71.20%,15.33%,7.49%,959.54,37.89,1817878,2.67,2.87,4.05,2.73,3.31,23.97%,,,2024-08-06 08:00:00
1,VSEE,VSee Health Inc.,USA,44.8,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,0.33%,0.33%,0.33%,1.68%,-7.01%,-9.50%,-9.50%,-0.65%,6.27%,6.27%,32.03%,-57.61%,-74.58%,-75.40%,-70.04%,-75.00%,1.61,33.33%,25.38%,-31.75%,-68.73%,-73.46%,6.27%,7.49%,959.54,42.11,2020536,2.67,2.87,4.05,2.73,3.05,14.23%,,,2024-08-06 08:15:00
2,VSEE,VSee Health Inc.,USA,46.13,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,0.61%,0.00%,-1.57%,-1.26%,1.67%,3.29%,-5.99%,-4.27%,9.41%,9.41%,35.93%,-56.36%,-73.83%,-74.68%,-69.16%,-74.26%,1.61,33.33%,25.38%,-29.74%,-67.80%,-72.68%,9.41%,7.49%,959.54,43.63,2093064,2.67,2.87,4.05,2.73,3.14,17.60%,,,2024-08-06 08:30:00
2,VSEE,VSee Health Inc.,USA,46.13,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,0.00%,0.00%,0.32%,0.61%,-1.57%,0.00%,3.29%,-3.68%,9.41%,9.41%,35.93%,-56.36%,-73.83%,-74.68%,-69.16%,-74.26%,1.61,33.33%,25.38%,-29.74%,-67.80%,-72.68%,9.41%,7.49%,959.54,44.17,2119307,2.67,2.87,4.05,2.73,3.14,17.60%,,,2024-08-06 08:45:00
2,VSEE,VSee Health Inc.,USA,46.27,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,0.00%,0.00%,-1.25%,0.64%,1.61%,0.32%,0.32%,-5.69%,9.76%,9.76%,36.36%,-56.22%,-73.75%,-74.60%,-69.06%,-74.18%,1.61,33.33%,25.38%,-29.51%,-67.70%,-72.59%,9.76%,7.49%,959.54,45.02,2159887,2.67,2.87,4.05,2.73,3.15,17.98%,,,2024-08-06 09:00:00
2,VSEE,VSee Health Inc.,USA,46.57,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,0.63%,0.96%,1.60%,2.26%,2.92%,1.60%,1.93%,3.93%,3.26%,10.45%,37.23%,-55.94%,-73.58%,-74.44%,-68.86%,-74.02%,1.61,33.33%,25.38%,-29.07%,-67.50%,-72.42%,10.45%,7.49%,959.54,45.36,2176293,2.67,2.87,4.05,2.73,3.17,18.73%,,,2024-08-06 09:15:00
1,VSEE,VSee Health Inc.,USA,44.17,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,-0.10%,-0.43%,-1.41%,-3.93%,-4.24%,-4.84%,-3.62%,-6.03%,-11.82%,4.77%,30.17%,-58.21%,-74.94%,-75.75%,-70.46%,-75.35%,1.54,33.33%,25.38%,-32.72%,-69.17%,-73.84%,-0.10%,12.73%,959.54,46.64,2237852,2.67,3.01,3.03,2.98,3.01,12.62%,,,2024-08-06 09:30:00
1,VSEE,VSee Health Inc.,USA,53.77,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,-1.99%,-4.92%,-1.87%,-3.67%,0.56%,22.02%,15.84%,17.70%,8.62%,27.54%,58.46%,-49.12%,-69.50%,-70.48%,-64.04%,-70.00%,1.6,33.33%,25.38%,-18.09%,-62.47%,-68.15%,21.61%,12.73%,959.54,83.0,6892472,2.67,3.01,3.9,2.98,3.66,37.10%,,,2024-08-06 09:45:00
1,VSEE,VSee Health Inc.,USA,53.32,,4.64,68.45%,0.00%,5.09%,1.23%,0.73%,0.04,0.03,0.56%,0.55%,0.41%,0.83%,2.83%,0.28%,21.00%,16.35%,7.72%,26.48%,57.14%,-49.54%,-69.75%,-70.73%,-64.34%,-70.25%,1.6,33.33%,25.38%,-18.77%,-62.78%,-68.41%,20.60%,12.73%,959.54,73.29,8655472,2.67,3.01,3.9,2.98,3.63,35.96%,,,2024-08-06 10:00:00
