No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Cash/sh,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Gap,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,timestamp,Change from Open,Average Volume,After-Hours Close,After-Hours Change
5,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,16.0,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,0.80%,-1.68%,-0.56%,1.73%,-0.39%,2.92%,-6.88%,-12.00%,-17.75%,6.02%,-15.38%,-21.60%,-15.18%,-9.25%,-74.21%,-44.91%,0.3,19.99%,15.90%,1.18%,-11.27%,-24.15%,24.20%,583.15,6190710,1.57,1.95,1.94,1.68,1.76,12.10%,2024-07-17 10:00:00,-9.74%,86.26,,
2,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,51.08,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.73%,-0.66%,-49.22%,-45.99%,-87.32%,-53.86%,0.11,9.68%,10.19%,14.76%,-15.13%,-50.53%,1.57%,18.77,582858,1.34,1.36,1.36,1.36,1.36,1.57%,2024-07-17 07:15:00,,,,
2,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,51.08,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.73%,-0.66%,-49.22%,-45.99%,-87.32%,-53.86%,0.11,9.68%,10.19%,14.76%,-15.13%,-50.53%,1.57%,18.82,584470,1.34,1.36,1.36,1.36,1.36,1.57%,2024-07-17 07:30:00,,,,
2,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,51.04,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.07%,-0.07%,-0.07%,23.64%,-0.73%,-49.25%,-46.03%,-87.33%,-53.90%,0.11,9.68%,10.19%,14.67%,-15.20%,-50.57%,1.57%,19.19,595922,1.34,1.36,1.36,1.36,1.36,1.49%,2024-07-17 07:45:00,,,,
3,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,51.8,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,1.49%,1.42%,1.42%,1.42%,25.48%,0.75%,-48.50%,-45.23%,-87.14%,-53.21%,0.12,9.68%,10.19%,16.38%,-13.93%,-49.83%,1.57%,20.62,640540,1.34,1.36,1.49,1.34,1.38,3.01%,2024-07-17 08:00:00,,,,
3,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,51.79,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,2.99%,2.91%,2.91%,2.99%,-0.72%,-1.43%,0.00%,1.47%,1.40%,1.40%,25.45%,0.73%,-48.51%,-45.24%,-87.14%,-53.22%,0.12,9.68%,10.19%,16.36%,-13.95%,-49.84%,1.57%,22.5,698621,1.34,1.36,1.49,1.34,1.38,2.99%,2024-07-17 08:15:00,1.40%,621.13,,
3,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,50.67,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,-2.17%,-2.17%,-2.17%,-1.46%,-1.46%,-2.17%,-0.74%,-0.74%,-0.81%,-0.81%,22.73%,-1.46%,-49.63%,-46.43%,-87.42%,-54.24%,0.12,9.68%,10.19%,13.83%,-15.82%,-50.93%,1.57%,23.19,720238,1.34,1.36,1.49,1.34,1.35,0.75%,2024-07-17 08:30:00,-0.81%,621.13,,
3,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,51.42,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,0.00%,0.00%,0.00%,0.00%,-0.72%,3.01%,0.00%,-2.14%,0.66%,0.66%,24.55%,0.00%,-48.88%,-45.63%,-87.23%,-53.56%,0.12,9.68%,10.19%,15.51%,-14.57%,-50.20%,1.57%,23.99,745184,1.34,1.36,1.49,1.33,1.37,2.24%,2024-07-17 09:00:00,0.66%,621.13,,
4,BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,50.67,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,1.50%,1.50%,-1.46%,-1.46%,1.50%,-1.46%,-1.46%,-1.46%,-0.74%,-0.81%,22.73%,-1.46%,-49.63%,-46.43%,-87.42%,-54.24%,0.11,9.68%,10.19%,13.83%,-15.82%,-50.93%,0.75%,25.32,786230,1.34,1.35,1.35,1.35,1.35,0.75%,2024-07-17 09:30:00,0.00%,621.13,,
2,CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,20.97,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-0.35%,2.08%,3.27%,3.27%,3.27%,3.27%,3.27%,3.27%,3.27%,3.27%,-3.73%,-84.22%,-90.81%,-92.00%,-97.29%,-93.76%,0.21,43.08%,31.84%,-67.40%,-86.23%,-90.19%,9.20%,74.51,7571683,0.25,0.27,0.29,0.27,0.28,13.10%,2024-07-17 07:00:00,,,,
3,CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,20.16,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-1.09%,-1.09%,-1.09%,-1.09%,-1.87%,-0.73%,-0.73%,-0.73%,-0.73%,-0.73%,-7.46%,-84.83%,-91.17%,-92.31%,-97.40%,-94.00%,0.21,43.08%,31.84%,-68.66%,-86.77%,-90.57%,9.20%,75.45,7666382,0.25,0.27,0.29,0.27,0.27,8.72%,2024-07-17 07:15:00,,,,
3,CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,20.26,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,0.15%,0.15%,0.15%,0.15%,0.51%,0.51%,-0.22%,-0.22%,-0.22%,-0.22%,-6.98%,-84.76%,-91.12%,-92.27%,-97.38%,-93.97%,0.21,43.08%,31.84%,-68.50%,-86.70%,-90.52%,9.20%,75.76,7698440,0.25,0.27,0.29,0.27,0.27,9.28%,2024-07-17 07:30:00,,,,
3,CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,19.9,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-0.19%,-0.37%,-0.37%,-0.99%,-0.99%,-0.99%,-1.28%,-2.00%,-2.00%,-2.00%,-8.64%,-85.03%,-91.28%,-92.41%,-97.43%,-94.08%,0.21,43.08%,31.84%,-69.06%,-86.94%,-90.69%,9.20%,77.3,7854686,0.25,0.27,0.29,0.27,0.27,7.33%,2024-07-17 07:45:00,,,,
4,CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,19.9,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-3.02%,-2.99%,-2.99%,-0.92%,-0.48%,0.00%,-0.99%,-2.00%,-2.00%,-2.00%,-8.64%,-85.03%,-91.28%,-92.41%,-97.43%,-94.08%,0.21,43.08%,31.84%,-69.06%,-86.94%,-90.69%,9.20%,85.14,8651704,0.25,0.27,0.29,0.27,0.27,7.33%,2024-07-17 08:00:00,,,,
4,CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,19.71,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,0.15%,-1.07%,-0.19%,-0.89%,-1.37%,-3.92%,-0.96%,-2.23%,-2.95%,-2.95%,-9.53%,-85.17%,-91.36%,-92.48%,-97.45%,-94.13%,0.21,43.08%,31.84%,-69.36%,-87.06%,-90.78%,9.20%,91.45,9292487,0.25,0.27,0.29,0.27,0.27,6.29%,2024-07-17 08:15:00,-2.66%,2032.29,,
4,CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,19.57,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,1.38%,-0.71%,0.80%,0.23%,-1.05%,0.49%,-2.36%,-2.61%,-3.60%,-3.60%,-10.14%,-85.27%,-91.42%,-92.53%,-97.47%,-94.17%,0.21,43.08%,31.84%,-69.57%,-87.15%,-90.84%,9.20%,94.76,9629338,0.25,0.27,0.29,0.26,0.27,5.58%,2024-07-17 08:30:00,-3.32%,2032.29,,
3,CDT,Conduit Pharmaceuticals Inc,Healthcare,Biotechnology,USA,19.56,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,0.00%,0.00%,-0.04%,0.26%,1.11%,0.34%,-0.49%,-1.67%,-3.64%,-3.64%,-10.17%,-85.28%,-91.42%,-92.54%,-97.47%,-94.18%,0.21,43.08%,31.84%,-69.58%,-87.15%,-90.84%,9.20%,95.27,9680734,0.25,0.27,0.29,0.26,0.26,5.54%,2024-07-17 08:45:00,-3.36%,2032.29,,
